/B 7 91
/C 6 77
/c 8 96
/[ 0 0
/{ 0 0
/D 5 61
/d 4 52
/F 4 50
/G 6 80
/H 6 72
/J 3 43
/K 5 64
/L 4 44
/l 0 0
/< 0 0
/M 11 140
/N 4 46
/n 6 75
/P 8 103
eR 4 45
/r 4 57
/S 5 69
/s 9 117
/T 6 82
/t 6 81
/V 3 42
/V 3 42
/X 6 74
/Z 5 66
/z 5 58
/' 3 35
/, 0 0
Be 3 39
C\ 4 57
c\ 7 83
[\ 0 0
{\ 0 0
De 7 86
d\ 0 0
F\ 5 59
Ge 3 33
He 7 86
Je 5 58
K\ 6 73
L\ 6 70
l\ 0 0
<\ 0 0
M\ 11 137
N\ 9 119
n\ 0 0
P\ 3 35
Re 4 45
r\ 5 60
S\ 5 69
s\ 8 99
T\ 4 56
t\ 6 73
Ve 3 39
W\ 0 0
X\ 6 75
Ze 8 106
z\ 5 61
'\ 0 0
\' 0 0
BA 6 77
CA 8 96
cA 10 127
[A 0 0
{A 0 0
DA 13 164
dA 8 104
FA 9 112
GA 10 130
HA 7 91
JA 3 38
KA 10 131
LA 7 86
lA 16 86
/A 5 67
MA 15 186
NA 6 82
nA 0 0
PA 6 80
RA 6 73
rA 0 0
SA 9 117
sA 10 128
TA 7 93
tA 0 0
VA 8 106
WA 0 0
XA 11 134
ZA 8 103
zA 0 0
'A 13 164
A' 8 102
BE 6 70
CE 9 120
cE 10 123
[E 0 0
{E 0 0
DE 9 113
dE 11 136
FE 0 0
GE 0 0
HE 5 69
JE 6 74
KE 8 104
LE 8 96
le 13 30
/E 5 60
ME 9 109
NE 8 104
nE 8 104
PE 7 94
RE 7 83
rE 9 109
SE 10 124
sE 15 190
TE 7 87
tE 8 102
VE 8 105
WE 0 0
XE 0 0
ZE 11 133
zE 8 98
'E 9 116
E' 8 95
BI 6 73
CI 7 89
cI 7 94
[I 0 0
{I 0 0
DI 7 87
dI 9 117
FI 7 90
GI 5 67
HI 7 89
JI 5 64
KI 8 105
LI 6 80
lI 0 0
/I 4 48
MI 10 120
NI 8 101
nI 9 113
PI 6 71
Re 4 45
rI 8 105
SI 11 135
sI 15 186
TI 8 96
tI 10 125
VI 7 88
WI 0 0
XI 9 119
ZI 10 123
zI 8 106
'I 7 93
I' 9 114
BO 6 74
CO 9 110
cO 10 133
[O 0 0
{O 0 0
DO 8 105
dO 0 0
FO 0 0
GO 7 83
HO 9 112
JO 19 236
KO 8 103
LO 7 91
lO 7 80
/O 3 43
MO 8 98
NO 9 114
nO 0 0
PO 6 81
RO 7 86
rO 0 0
SO 8 107
sO 0 0
TO 8 96
tO 0 0
VO 9 111
WO 0 0
XO 10 127
ZO 9 112
zO 0 0
'O 8 104
O' 0 0
BU 7 89
CU 9 112
cU 13 168
[U 0 0
{U 0 0
DU 9 108
dU 0 0
FU 0 0
GU 0 0
HU 9 117
JU 9 120
KU 7 91
LU 17 211
lU 14 211
/U 4 156
MU 10 121
NU 9 113
nU 0 0
PU 8 101
RU 7 86
rU 0 0
SU 0 0
sU 0 0
TU 8 97
tU 0 0
VU 8 104
WU 0 0
XU 0 0
ZU 7 87
zU 8 99
'U 7 91
U' 17 211
AB 12 157
AC 15 193
Ac 17 211
A[ 0 0
A{ 0 0
AD 10 128
Ad 10 121
AF 9 117
AG 11 139
AH 8 106
AJ 19 238
AK 13 159
AL 10 128
Al 0 0
A\ 8 102
AM 11 142
AN 12 156
An 12 153
AP 14 178
AR 8 95
Ar 14 180
AS 14 173
As 15 185
AT 19 246
At 15 185

AV 8 98
AW 0 0
AX 12 149
AZ 11 141
Az 14 175
A' 8 102
A, 0 0
AA 9 118
AE 0 0
AI 0 0
AO 0 0
AU 10 124
EB 21 260
EC 17 220
Ec 17 221
E[ 0 0
